phi_type,precision,recall,f1,support
GIVENNAME,0.0,0.0,0.0,343
SURNAME,0.0,0.0,0.0,242
EMAIL,0.833,0.98,0.901,204
CITY,0.0,0.0,0.0,199
TELEPHONENUM,0.0,0.0,0.0,197
BUILDINGNUM,0.0,0.0,0.0,192
STREET,0.0,0.0,0.0,184
DATEOFBIRTH,0.0,0.0,0.0,176
ZIPCODE,0.0,0.0,0.0,146
IDCARDNUM,0.0,0.0,0.0,115
SOCIALNUM,0.0,0.0,0.0,99
USERNAME,0.0,0.0,0.0,97
ACCOUNTNUM,0.0,0.0,0.0,60
DRIVERLICENSENUM,0.0,0.0,0.0,60
CREDITCARDNUMBER,0.0,0.0,0.0,37
PASSWORD,0.0,0.0,0.0,35
TAXNUM,0.0,0.0,0.0,25
ORG,0.0,0.0,0.0,0
SSN,0.0,0.0,0.0,0
AGE,0.0,0.0,0.0,0
CREDIT_CARD,0.0,0.0,0.0,0
PHONE,0.0,0.0,0.0,0
RELATIONSHIP,0.0,0.0,0.0,0
DATE,0.0,0.0,0.0,0
ID_NUMBER,0.0,0.0,0.0,0
PERSON,0.0,0.0,0.0,0
LOCATION,0.0,0.0,0.0,0
DIAGNOSIS,0.0,0.0,0.0,0
